,x,y,cluster,_id,actual_cluster,cluster_ids
0,0.6839115353098769,0.5435036726527372,145,0,1,0
1,0.6857011238531137,0.5511360485409973,145,1,1,0
2,0.6128098875297734,0.5702447166538899,145,2,1,0
3,0.6355533713470528,0.5440473666182779,145,3,1,0
4,0.6536933880753538,0.6055935235174825,145,4,1,0
5,0.6031794386253923,0.5507261032909796,145,5,1,0
6,0.5967205736873167,0.5383331430404454,145,6,1,0
7,0.6207759978601362,0.5691997368521207,145,7,1,0
8,0.5861210296821199,0.5080189422977595,145,8,1,0
9,0.6208386228447452,0.5692149602831558,145,9,1,0
10,0.5921701786191934,0.5833238186889363,145,10,1,0
11,0.617947259148555,0.5693574081021274,145,11,1,0
12,0.6454969451744795,0.5692519314728126,145,12,1,0
13,0.6235261899808516,0.5282965524365645,145,13,1,0
14,0.6191488097007163,0.5694367874210964,145,14,1,0
15,0.6921483129466011,0.5661376524381956,145,15,1,0
16,0.6287431696309159,0.5646501057484763,145,16,1,0
17,0.6158445456822726,0.5699967922056033,145,17,1,0
18,0.6454375045111218,0.590202634740957,145,18,1,0
19,0.6178984328893682,0.6016593539828301,145,19,1,0
20,0.6071609016299481,0.5631908311449652,145,20,1,0
21,0.617343299551223,0.5671510979899634,145,21,1,0
22,0.6473544659044109,0.5512871954634175,145,22,1,0
23,0.6810148644116011,0.6007231129741691,145,23,1,0
24,0.6132111120074386,0.5498007361616294,145,24,1,0
25,0.6170652021619418,0.5779064520162891,145,25,1,0
26,0.5762230977926285,0.5648708454984858,145,26,1,0
27,0.6212313557990736,0.5570775361964257,145,27,1,0
28,0.6234678107579109,0.5697347317142127,145,28,1,0
29,0.5827191131453027,0.5644435020415708,145,29,1,0
30,0.6290626631964641,0.5076883763667107,145,30,1,0
31,0.6043937264625587,0.5683298265072556,145,31,1,0
32,0.6429611640180191,0.5436537321872265,145,32,1,0
33,0.5736045242836338,0.4882730648572531,145,33,1,0
34,0.6436457930870508,0.5638824098691329,145,34,1,0
35,0.6271319030777527,0.5443246505407037,145,35,1,0
36,0.6130805548361349,0.5641575190156964,145,36,1,0
37,0.6164283379116796,0.5963387648360491,145,37,1,0
38,0.6202346632474133,0.5479152054891343,145,38,1,0
39,0.6305338196145698,0.5429349687647816,145,39,1,0
