,0,1,2,3,4,5,6,7,8,9,10,11,12,13,cluster,_id
0,0.9056599074,1.4848286655,-1.4915724927,1.1552680604,-1.1607418529,1.5928038944,-0.187454869,0.7830840851,0.7368217485,-0.3479259997,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,2,32768
1,-0.8448739995,-0.8477008593,-1.3575766096,0.0785709529,-0.8012362125,-1.4015925061,0.1820534781,0.4596827119,0.2820001766,1.4154241684,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,1
2,-0.866135545,-0.8006740543,-1.4915724927,-0.1445284477,-0.921071426,-1.4625885285,0.1409969951,0.6213833985,0.3672792213,1.3874344832,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,2
3,0.8595932257,-0.4808917808,-1.2235807265,1.1552680604,-1.4203848155,1.6095778006,0.3873358932,0.5135829408,0.0830157389,-0.3116430744,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,2,32771
4,0.8347880894,-0.5185132247,-0.419605428,1.0922182297,-0.0822249317,1.6329596092,0.7568442403,-0.0254193479,-0.5423639225,-0.2624019615,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,2,32775
5,0.8241573166,-0.4808917808,-1.6255683758,0.9903685034,-0.1421425385,1.6390592114,0.1820534781,0.6752836274,0.3672792213,-0.2499621014,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,2,32776
6,-0.7881765451,-0.7724579714,-0.419605428,0.0252210962,-0.5815383212,-1.3375466825,0.4694488592,-0.2410202634,-0.4002321812,1.3900261207,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,10
7,-0.7988073178,0.6853729816,-0.8215930773,-0.4452276399,0.1175004241,-1.2689261573,-0.146398386,1.2681861449,0.9073798379,1.3801778982,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,14
8,0.8347880894,0.2527263762,-0.419605428,0.4326200018,-0.0822249317,1.6954805322,0.4694488592,1.1064854583,0.2535738283,-0.1354117231,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,2,32785
9,0.8347880894,0.2433210152,0.1163781044,0.4277700148,-0.0822249317,1.7015801344,0.5926183083,1.1064854583,0.0830157389,-0.1224535355,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,2,32786
10,-1.1708843628,-1.3273742696,-1.2235807265,-0.7119769233,-0.7013735346,-1.3095901723,-0.105341903,0.4596827119,0.5094109625,1.0489666232,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,19
11,-1.1815151355,-0.6595936395,-0.5536013111,-0.8817264672,-0.6414559279,-1.2709593581,0.5515618253,-0.0254193479,-0.3433794848,1.0360084356,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,21
12,0.7532854985,-0.1140827023,-0.419605428,0.4277700148,-0.54159325,1.7285200443,0.8389572064,0.5674831696,-0.3433794848,-0.0706207851,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,2,32790
13,-1.1460792264,-0.8194847763,-0.6875971942,-0.5713273011,-0.8012362125,-1.3365300822,0.3462794102,-0.0793195768,-0.2296740918,1.0474116407,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,24
14,0.7320239531,-1.1956992158,-1.2235807265,0.4326200018,-0.6614284635,1.7158125396,-0.023228937,0.405782483,0.4241319178,-0.0441860824,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,2,32792
15,-1.2134074536,-0.0576505364,-0.9555889604,-1.1727256855,-0.8012362125,-1.2236874407,0.5105053422,0.7291838562,0.1114420871,1.0085370779,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,26
16,0.6824136804,-0.4808917808,0.2503739875,0.5296197412,-0.921071426,1.6720987236,1.0442396214,-0.4566211789,-1.1108908873,-0.0042748646,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,1,32795
17,-0.4657097727,-0.1799202292,2.2603122339,-0.8477765584,-0.2619777519,-0.0388397052,1.5369174176,-1.2112243831,-2.4469292547,1.3345650778,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,31
18,0.6150854533,-1.3273742696,-1.3575766096,0.8497188812,-1.1607418529,1.5994117968,-0.06428542,0.5674831696,0.5094109625,0.0625893834,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,1,32800
19,-1.1177304992,-0.3680274489,-0.9555889604,-0.5713273011,-0.7213460702,-1.3477126863,0.5515618253,0.5135829408,-0.0306896541,1.0422283656,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,33
20,0.6009110896,-1.3273742696,-1.2235807265,0.8642688421,-1.1207967818,1.5704386862,-0.146398386,0.4596827119,0.5094109625,0.0895424136,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,1,32802
21,0.2323776355,-0.9041330252,0.7863575199,0.0009711614,-0.401785501,0.9818270699,0.1820534781,-1.5346257563,-1.0824645391,0.2937634501,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,2,36
22,0.5902803169,-0.4808917808,-0.6875971942,0.7769690767,0.4370609933,1.4977517595,0.6747312743,0.1901815675,-0.3149531365,0.1574433166,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,1,32807
23,-0.5259508181,2.0021235197,-0.1516136618,-1.1727256855,-0.8012362125,-0.0510389097,-0.6801326652,-0.2410202634,0.5378373108,1.3511515579,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,40
24,-0.4798841363,1.9362859928,-1.3575766096,-1.1727256855,-0.8012362125,-0.5954284098,-0.146398386,0.5674831696,0.5946900072,1.7129441556,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,1,41
25,0.5690187715,-0.3868381709,-0.1516136618,0.6654193763,0.3172257798,1.4687786488,0.9210701724,0.0284808809,-0.7129220119,0.1849146743,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,1,32809
26,-1.0681202265,-0.6595936395,-0.5536013111,-0.4452276399,-0.8611538193,-1.3675363936,0.5515618253,-0.0254193479,-0.3433794848,1.0386000731,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,5,43
27,-0.5542995453,-0.1234880633,-1.0895848435,-0.7119769233,-0.3418678942,-0.8170472912,0.5105053422,0.6752836274,0.0830157389,1.5538176119,0.5472454751,-0.1004022133,-0.3813779367,-0.3211603342,2,45
